0.000000000	0.000000000
0.000040503	0.001677014
0.000095042	0.003250268
0.000151652	0.004651603
0.000222764	0.006233086
0.000303560	0.007875622
0.000386107	0.009435844
0.000474204	0.011003138
0.000563506	0.012511145
0.000667479	0.014184497
0.000766727	0.015713500
0.000878825	0.017373277
0.000978633	0.018799573
0.001088300	0.020318155
0.001208634	0.021932924
0.001340493	0.023647798
0.001447440	0.025001330
0.001581611	0.026656951
0.001705096	0.028142815
0.001836898	0.029692345
0.001977471	0.031307165
0.002127290	0.032988889
0.002259524	0.034442223
0.002398812	0.035944016
0.002575739	0.037811868
0.002699783	0.039096734
0.002862085	0.040749272
0.003032706	0.042453802
0.003175385	0.043855083
0.003342762	0.045472658
0.003497807	0.046947177
0.003658958	0.048456804
0.003847811	0.050197817
0.004022572	0.051783380
0.004204045	0.053405280
0.004368476	0.054854367
0.004563075	0.056545399
0.004713766	0.057837872
0.004921275	0.059594556
0.005081891	0.060936649
0.005302967	0.062760020
0.005474007	0.064152489
0.005679429	0.065804809
0.005860608	0.067244687
0.006078124	0.068952666
0.006269896	0.070440527
0.006466714	0.071950715
0.006668678	0.073483339
0.006875889	0.075038504
0.007088449	0.076616313
0.007306463	0.078216861
0.007530034	0.079840242
0.007720640	0.081210395
0.007954674	0.082875858
0.008194567	0.084564392
0.008399006	0.085989006
0.008607651	0.087429731
0.008863698	0.089180136
0.009081822	0.090656441
0.009304357	0.092148972
0.009531368	0.093657762
0.009762920	0.095182839
0.009999080	0.096724231
0.010239913	0.098281962
0.010485487	0.099856054
0.010735868	0.101446526
0.010991124	0.103053395
0.011251321	0.104676676
0.011463058	0.105986966
0.011732323	0.107639816
0.012006722	0.109309106
0.012229957	0.110656214
0.012513771	0.112355105
0.012744627	0.113725893
0.013038081	0.115454388
0.013276738	0.116848852
0.013549461	0.118430292
0.013795653	0.119847102
0.014108504	0.121633107
0.014362854	0.123073550
0.014620889	0.124524484
0.014915646	0.126169414
0.015181632	0.127642611
0.015451418	0.129126268
0.015725039	0.130620372
0.016037513	0.132313815
0.016319409	0.133830075
0.016605255	0.135356738
0.016895091	0.136893786
0.017188952	0.138441203
0.017486875	0.139998968
0.017788899	0.141567063
0.018095061	0.143145467
0.018366359	0.144534924
0.018680378	0.146132595
0.018998642	0.147740509
0.019280618	0.149155729
0.019606942	0.150782778
0.019896027	0.152214700
0.020230543	0.153860790
0.020526852	0.155309327
0.020826573	0.156765587
0.021173341	0.158439416
0.021480455	0.159912154
0.021791059	0.161392547
0.022105178	0.162880573
0.022468530	0.164590595
0.022744066	0.165879455
0.023115600	0.167606784
0.023397315	0.168908580
0.023777144	0.170653102
0.024065124	0.171967746
0.024453363	0.173729339
0.024747692	0.175056740
0.025094570	0.176612339
0.025445213	0.178175311
0.025799646	0.179745626
0.026106461	0.181097351
0.026467996	0.182681224
0.026833391	0.184272353
0.027149658	0.185641847
0.027522287	0.187246368
0.027898845	0.188858055
0.028224737	0.190245093
0.028608659	0.191869997
0.028940898	0.193268314
0.029332268	0.194906318
0.029670925	0.196315810
0.030069827	0.197966792
0.030414975	0.199387355
0.030763143	0.200812990
0.031173200	0.202482714
0.031527962	0.203919259
0.031885791	0.205360802
0.032307180	0.207048989
0.032671706	0.208501276
0.033039347	0.209958482
0.033410116	0.211420582
0.033784029	0.212887551
0.034224281	0.214605237
0.034605056	0.216082665
0.034989022	0.217564879
0.035376191	0.219051851
0.035766580	0.220543556
0.036160203	0.222039965
0.036557073	0.223541051
0.036957205	0.225046787
0.037360614	0.226557145
0.037767313	0.228072095
0.038177316	0.229591610
0.038590638	0.231115661
0.039007292	0.232644219
0.039427292	0.234177254
0.039779837	0.235458104
0.040206007	0.236999271
0.040635563	0.238544831
